,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
Overall_Rating,6178.0,4.176,2.77,1.0,2.0,3.0,7.0,9.0,0.595,-1.111
Seat Comfort,6178.0,2.533,1.41,1.0,1.0,2.0,4.0,5.0,0.438,-1.144
Cabin Staff Service,6178.0,2.851,1.539,1.0,1.0,3.0,4.0,5.0,0.114,-1.425
Food & Beverages,6178.0,2.357,1.23,1.0,2.0,2.0,3.0,5.0,0.906,-0.166
Inflight Entertainment,6178.0,1.514,1.11,1.0,1.0,1.0,1.0,5.0,2.069,2.974
Ground Service,6178.0,2.31,1.608,1.0,1.0,1.0,4.0,5.0,0.67,-1.246
Wifi & Connectivity,6178.0,1.247,0.846,1.0,1.0,1.0,1.0,5.0,3.556,11.618
Value For Money,6178.0,2.353,1.587,1.0,1.0,2.0,4.0,5.0,0.661,-1.2
review_length,6178.0,775.204,585.592,127.0,374.0,600.0,987.0,5094.0,1.983,5.148
word_count,6178.0,137.899,105.49,18.0,65.0,107.0,175.0,843.0,1.952,4.94
